Archetype,Scientific Name (PISCES),Score2: Overall Sustainability,Score2:  GHG Emissions,Score2: Edible Coefficient,Score2: Max Number of Individuals (Log),Score2: Mercury Concentration,Score: U.S. Retail Sales (Log) - Values,Score2: U.S. Menu Prevalence,Score2: Import Value (Log),Score2: Import Volume (Log),Average Score
Crab,"Cancridae,Cancer magister,Cancer pagurus,Chionoecetes,Portunidae,Callinectes sapidus,Portunus pelagicus,Scylla serrata,Lithodidae,Paralithodes camtschaticus,Eriocheir sinensis,Ucides cordatus",1.00,0.8351,0.84,,0.06,0.81,0.47,0.90,0.80,0.62
Lobster,"Nephropidae,Homarus americanus,Homarus gammarus,Nephrops norvegicus,Palinuridae,Jasus edwardsii,Panulirus argus",0.95,0.9266,0.66,,0.12,0.63,0.23,0.86,0.73,0.58
Tuna (Not Specified),,,,,0.51,0.40,0.89,0.54,0.85,0.88,0.54
Billfish (including marlin and swordfish),"Kajikia albida,Istiompax indica,Makaira nigricans,Kajikia audax,Xiphias gladius",0.91,0.4173,,0.05,0.76,0.41,,0.57,0.56,0.52
Tuna (Bluefin/Bigeye/Yellowfin),"Thunnus maccoyii,Thunnus albacares,Thunnus obesus,Thunnus thynnus,Thunnus orientalis",0.91,0.1703,,0.59,0.53,0.58,0.06,0.69,0.65,0.52
Orange Roughy,,0.98,,,,0.58,0.18,,0.43,0.38,0.52
Shark,"Squalus acanthias,Triakis scyllium,Scyliorhinus canicula,Prionace glauca,Scoliodon laticaudus",0.97,,,0.25,1.00,,,0.00,0.00,0.51
Shrimp/Prawn,"Penaeus monodon,Macrobrachium,Macrobrachium rosenbergii,Macrobrachium malcolmsonii,Crangon crangon,Pandalus hypsinotus,Pandalus borealis,Pandalus,Penaeidae,Metapenaeus endeavouri,Metapenaeus macleayi,Metapenaeus monoceros,Penaeus esculentus,Penaeus latisulcatus,Penaeus merguiensis,Penaeus merguiensis,Penaeus semisulcatus,Litopenaeus vannamei,Sergestidae,Palaemonidae,Mesopodopsis orientalis,Acetes indicus,Acetes,Pleoticus muelleri,Parapenaeus longirostris,Melicertus plebejus,Haliporoides sibogae,Parapenaeus australiensis,Plesionika martia,Litopenaeus stylirostris,Penaeus chinensis,Marsupenaeus japonicus,Penaeus penicillatus,Farfantepenaeus californiensis",0.76,0.4777,0.37,,0.01,1.00,0.51,1.00,1.00,0.50
Tilefish,,0.77,,,0.50,0.65,,,,,0.48
Grouper,"Epinephelus akaara,Epinephelus coioides",0.94,0.1667,,0.61,0.46,0.20,,0.53,0.52,0.47
Sea Cucumber,,0.79,0.7560,,,,,,0.43,0.37,0.45
"Flatfish (including halibut, flounder, etc.)","Scophthalmus maximus,Paralichthys olivaceus,Pseudopleuronectes yokohamae,Kareius bicoloratus,Microstmus achne",0.86,0.4557,,0.62,0.15,0.57,0.03,0.67,0.65,0.45
Bluefish,,0.76,,,,0.37,,,,,0.44
Tuna (Albacore/Skipjack),"Thunnus alalunga,Katsuwonus pelamis,Euthynnus alletteratus",0.81,0.1795,,0.50,0.25,0.87,0.01,0.66,0.68,0.44
Cod,"Gadus morhua,Gadus macrocephalus",0.96,0.1487,0.68,0.51,0.11,0.66,0.08,0.76,0.76,0.44
Dolphinfish (including mahi mahi),Coryphaena hippurus,0.91,,,,0.18,0.37,,0.66,0.63,0.44
Sunfish/Opah,,0.98,,,,,,,,,0.43
Sole,"Solea senegalensis,Eopsetta jordani,Solea solea",0.41,1.0000,0.68,0.53,,,0.03,0.53,0.56,0.43
Triggerfish,,0.96,,,,,,,,,0.43
Oysters,"Crassostrea gigas,Crassostrea,Crassostrea rhizophorae,Ostrea edulis,Ostrea,Crassostrea virginica",0.35,0.5249,1.00,,0.01,0.49,0.11,0.57,0.57,0.42
Toothfish,,0.95,,,,,,,0.66,0.53,0.42
Scallops,"Pectinidae,Pecten maximus",0.00,0.5967,0.97,,0.00,0.60,0.34,0.67,0.62,0.42
Octopus,"Octopus vulgaris,Octopodidae",0.90,0.6132,0.00,,,0.28,0.05,,,0.42
Mackerel,"Trachurus trachurus,Trachurus japonicus,Scomber japonicus,Sarda sarda,Scomber scombrus",0.71,0.1072,0.37,0.86,0.31,0.27,,0.56,0.66,0.42
Sardines,"Sardinops sagax,Sardina pilchardus",0.97,0.0134,,0.89,0.01,0.52,,0.62,0.71,0.41
Salmon,"Salmo salar,Salmo trutta,Oncorhynchus gorbuscha,Oncorhynchus nerka,Oncorhynchus tshawytscha,Oncorhynchus masou masou,Oncorhynchus kisutch,Oncorhynchus keta,Oncorhynchus mykiss",0.69,0.1410,0.21,0.48,0.02,0.96,0.62,0.96,0.94,0.41
Crayfish,"Astacidae,Cambaridae,Parastacidae,Procambarus clarkii",0.47,,0.99,,0.03,0.44,,0.56,0.51,0.41
Scorpionfish,,,,,,0.24,,,,,0.40
Blowfin,,,,,,,,,,,0.40
Elephantfish,Gnathonemus petersii,,,,,,,,,,0.40
Minnows/Killifish,"Danio rerio,Fundulus heteroclitus,Pimephales promelas,Austrofundulus limnaeus",,,,,,,,,,0.40
Turtle,Pelodiscus sinensis,,,,,,,,,,0.40
Arapaima,,,,,,,,,,,0.40
Sablefish,Anoplopoma fimbria,0.69,,,,0.37,,,0.28,0.19,0.40
Caviar,,,,,,,0.16,,0.49,0.37,0.40
Anchovy,Engraulis encrasicolus,0.95,0.0107,,1.00,0.01,0.25,0.19,0.48,0.45,0.39
Snapper,"Ocyurus chrysurus,Lutjanus,Lutjanus argentimaculatus,Rhomboplites aurorubens",0.84,0.1667,,0.58,0.17,0.39,0.00,0.62,0.62,0.39
Smelts,"Atherina boyeri,Plecoglossus altivelis,Glossanodon semifasciatus,Hypomesus nipponensis",0.80,,,0.74,,,,0.38,0.51,0.38
Rockfish,,0.80,0.0278,,,,,,,,0.38
Anglerfish,,,0.0747,,,,,,,,0.38
Sea Urchin,Paracentrotus lividus,0.75,,,,,,,0.42,0.36,0.38
Krill,,0.76,0.1802,,,,,,0.36,0.48,0.37
Herring,"Clupea harengus,Spratelloides gracilis",0.72,0.0239,,0.84,0.06,0.39,,0.53,0.60,0.37
Haddock,Melanogrammus aeglefinus,0.86,0.2950,,0.41,0.05,0.46,0.03,0.64,0.66,0.37
Eels,"Anguilla japonica,Conger myriaster,Carapus acus,Anguilla rostrata,Anguilla anguilla",0.89,0.0255,,0.57,,,,0.56,0.49,0.37
Pollock,,0.90,0.0917,,0.68,0.03,0.41,0.03,0.59,0.69,0.37
Bass/Croaker/Drum,"Dicentrarchus labrax,Pomoxis nigromaculatus,Lateolabrax japonicus,Lates calcarifer,Centropristis striata",0.53,0.1034,0.44,0.72,0.22,0.32,,0.54,0.55,0.37
Monkfish,,,0.0298,,,0.16,,,,,0.36
Tilapia,"Oreochromis niloticus,Oreochromis aureus",0.43,0.0391,0.63,0.72,0.01,0.72,0.06,0.77,0.86,0.36
Conchs,"Strombidae,Strombus galeatus,Strombus gracilior",0.86,,0.18,,,0.00,,0.48,0.39,0.36
Seabream,"Sparus aurata,Boops boops,Pagrus major,Dentex dentex",0.67,0.1405,,0.72,,,,0.36,0.34,0.35
Clam,"Veneridae,Chamelea gallina,Rangia cuneata",0.36,0.0579,0.79,,0.01,0.51,0.26,0.56,0.64,0.35
Mullet,"Mullus barbatus,Mugil cephalus cephalus",0.81,0.0917,,0.68,0.05,,,,,0.35
Catfish,"Pangasianodon hypophthalmus,Ictalurus punctatus,Clarias gariepinus,Clarias macrocephalus,Clarias batrachus,Clarias,Kryptopterus bicirrhis,Heteropneustes fossilis,Wallago attu,Clarias dussumueri,Clarias magur,Ameiurus nebulosus,Ameiurus melas",0.46,0.0685,0.53,0.72,0.02,0.65,0.01,0.74,0.80,0.34
Butterfish,,0.91,,,,0.06,,,0.25,0.32,0.34
Perch,"Lepomis macrochirus,Pomoxis nigromaculatus,Perca flavescens,Sander canadensis,Sebastes norvegicus,Perca fluviatilis,Oplegnathus fasciatus,Etroplus suratensis,Anarhichas minor",0.65,0.1251,,0.58,0.14,0.25,,0.50,0.51,0.34
Lingcod,Rachycentron,0.78,0.1491,,,,,,0.04,0.00,0.34
Hake,"Merluccius merluccius,Merluccius capensis",0.87,0.3397,,0.54,0.08,,0.03,0.43,0.52,0.34
Trout,"Oncorhynchus mykiss,Salmo trutta",0.64,0.0359,0.25,0.58,0.15,0.46,,0.64,0.60,0.33
Mussels,"Mytilus galloprovincialis,Mytilus,Mytilus coruscus,Mytilus edulis,Perna,Perna canaliculus,Perna viridis",0.27,0.0000,0.41,,,0.36,0.15,,,0.33
Squid,"Loligo vulgaris,Loligo,Ommastrephidae,Uroteuthis duvaucelii,Loliginidae",0.94,0.0647,0.01,,0.02,0.35,0.18,0.71,0.75,0.33
Whiting,Merlangius merlangus,,0.0804,,0.63,0.05,0.40,0.03,0.36,0.42,0.32
Lake Whitefish,Coregonus clupeaformis,0.82,,,0.00,,,,,,0.32
Carp,"Cyprinus carpio,Tinca tinca,Gibelion catla,Labeo rohita",0.74,0.0284,,0.82,0.11,,,0.14,0.21,0.32
Cobia,,0.52,0.0452,,,,,,0.27,0.21,0.32
Amberjack,Seriola quinqueradiata,0.62,0.0187,,0.36,,,,,,0.32
Abalone,Haliotis,0.14,,0.54,,,,,0.43,0.24,0.31
Pike/Pickerel,"Esox lucius,Esox masquinongy,Sander vitreus,Spicara smaris,Muraenesox cinereus",0.85,,0.65,0.07,0.09,,,0.52,0.45,0.31
Cockles,,0.28,,,,,,,0.22,0.26,0.30
Cuttlefish,"Sepiidae,Sepia officinalis",,0.0443,0.01,,,,,0.45,0.45,0.30
Skates/Rays,Hemitrygon akajei,0.82,,,0.27,0.14,,,0.03,0.03,0.28
Sturgeon,Acipenser transmontanus,0.26,0.0427,,0.32,,,,0.07,0.04,0.22